Project Title,Country of Origin,First Name,Last Name,Synopsis,Trailer URL
Lost in Tartarus,Austria,Elham,Hadian,"In an underground the sandman is struggling to find a way out but he just forced to unending effort and bare repetition. The story of the animation is loosely based on the ancient Greek mythology; “Sisyphus”. As a punishment to the crime, Sisyphus was exile to the deep abyss place named TARTARUS, forever to try to roll a large stone to the top of a mountain, which no matter how many times he nearly succeeded in his attempt, it would always roll back to the bottom.  Albert Camus, in his 1942 essay The Myth of Sisyphus, saw Sisyphus as personifying the absurdity of human life, but Camus concludes ""one must imagine Sisyphus happy"" as ""The struggle itself towards the heights is enough to fill a man's heart."" Camus sees Sisyphus as the absurd hero who lives life to the fullest, hates death, and is condemned to a meaningless task. Instead of despairing, Camus imagined Sisyphus defiantly meeting his fate as he walks down the hill to begin rolling the rock again. And even if the daily struggles of our lives sometimes seem equally repetitive and absurd, we still give them significance and value by embracing them as our own.",https://vimeo.com/708580064
Teacher Chang's sunny day,China,Hao,Luo,"Chang Wanli is a music teacher in the experimental middle school. He threw his youth on his education post. Now he is facing the crisis of weakening his minor subjects. The school also stopped introducing young music teachers for budget consideration. He was classified as idle, trying to prove his value. As it happens, the construction of the college is in urgent need of an art community, and Chang Wanli decided to set up a choir first. It was originally a passing project, but with his efforts, he did a good job, attracting other schools to visit and follow. And Lao Chang even had plans to participate in the competition. Under the strict requirements of the new song, he ran into the main subject time. Where should Lao Chang and his Choir go……",
Second Prison,Singapore,Craig,McTurk,"""Second Prison"" is the unlikely story of a Singaporean ex-convict who befriends an ex-prison officer. Together, they create a business enterprise known as ""The Caffeine Experience,"" helping other ex-convicts along the way.",
The Seed,United States,Yevgeniya,Regent,,
Haze Grey,United States,Laura,Lopez,,
Tsurezure Kankan,Japan,Takashi,Okado,"“My brother, I don't think he'll ever come to the wedding”. Driving on the way to her parents' house, Kaho tells him so, but his fiancée Noboru confidently replies that it will ok. However, her brother, Seitaro, who was at her parents' house, is even more reticent than he ever had imagined. And even starts a fight with Kaho.",
The Weight,India,Anubhav Sujoy,Prasad,"Three individuals from different walks of life go about their day, with random actions in their behaviour, certainty remains uncertain.",
Chiripajas,Russian Federation,Olga,Jaume,"An ecological film about big adventure of one small turtle, which is trying to find his family when faced with the pressing problem of the polluted oceans.",https://vimeo.com/204784637
Raindrop legs,Russian Federation,Daria,Bolotnikova,"In rainy weather, a little girl with her dog stays at home. Having invited raindrops to visit, magic suddenly begins to happen in the room!",
Crossing,Bangladesh,Mashrukur,Rahman Khan,The crossing of a flooded road; the only way is through a van - piloted by children. ,
The Kurds in Egypt through the ages,Iraq,Zhee,Kaml,"Kurds, like any other nation, have their own culture, traditions and history, but due to successive occupations and lack of unity, they have always been in crisis of war, displacement and destruction. It has caused his people to be scattered in all countries, separated from their language, culture and land and never to be acquainted with their homeland again. This film tells the history of Kurdish migration to Egypt thousands of years ago, whether voluntary or forced, from the time of the pharaohs to Saladin and Mohammed Ali Pasha. And talk about the personalities who have played an important role in the development of Egypt in terms of politics, intellectual, literary, cultural and cinema. Also explore the areas where Kurds still live since ancient times ",
Virginia is for glass recycling lovers,United States,Elena,Davis,"“Virginia is for Glass Recycling Lovers” is a documentary film about a network of Virginia teens working to make their community cleaner. As a result of a halt in Fairfax County curbside glass pickup, the documentary highlights how the network helps to prevent glass bottles from making their way to the landfills.",
The Mushroom at the Top of the World,Slovenia,Matjaž,Pinter,"Yarsagumba, also known as the 'Himalayan gold' is a rare mushroom that is picked in the remotest corners of the Nepal Himalayas. A decade ago Nepal was struck by the yarsagumba trading craze, as the prices of the mushrooms soared in the international markets. Since then the local population has become increasingly dependent on this precious resource. 'The Mushroom at the Top of the World' follows a story of a village in Nepal's Rukum district, where in the aftermath of the People's War, the villagers have turned to mushroom picking in order to restructure their livelihoods. The documentary film addresses the issues of the precarious world of rural Nepal and portrays the people and their resilience in daily struggles to make a living in the relentless mountainous landscape.",https://youtu.be/eGrcNug_5Wg
Dur,India,Abhisek,Narayan Sharma,The story is about a middle aged couple and the complicated relationship they share with their daughter because of the social constraints.,
Yōkai,Spain,Livia,Beltrami,"Yōkai is a circular story set in the afterlife; Akane, the main character of the story, awakens in limbo and must undertake a journey down a river with two guiding creatures. She is faced with the discovery of her death and experiences a metamorphosis to complete her cycle and guide the next arriving soul into limbo.",
1996,Spain,Carlos,Escutia,"A girl and her father travel to the family town house, where they reminisce about the past and discover the things they have in common. A story of love and loyalty, of parents and children.",
Bible Belt Queers,United States,Jill,Fredenburg,Bible Belt Queers is a book and inspired zine series that allows LGBT-identifying folks in the US south to define what it means to Queer in this region and share those definitions with other contributors and a wider audience.,
